DATE,BANK_ASSETS_TEMPO_MONTH
3/1/2018,-1.3
2/28/2018,-1.3
2/27/2018,-1.3
2/26/2018,-1.3
2/22/2018,-1.3
2/21/2018,-1.3
2/20/2018,-1.3
2/19/2018,-1.3
2/16/2018,-1.3
2/15/2018,-1.3
2/14/2018,-1.3
2/13/2018,-1.3
2/12/2018,-1.3
2/9/2018,-1.3
2/8/2018,-1.3
2/7/2018,-1.3
2/6/2018,-1.3
2/5/2018,-1.3
2/2/2018,-1.3
2/1/2018,-1.3
1/31/2018,1.5
1/30/2018,1.5
1/29/2018,1.5
1/26/2018,1.5
1/25/2018,1.5
1/24/2018,1.5
1/23/2018,1.5
1/22/2018,1.5
1/19/2018,1.5
1/18/2018,1.5
1/17/2018,1.5
1/16/2018,1.5
1/15/2018,1.5
1/12/2018,1.5
1/11/2018,1.5
1/10/2018,1.5
1/9/2018,1.5
12/29/2017,1.5
12/28/2017,1.5
12/27/2017,1.5
12/26/2017,1.5
12/25/2017,1.5
12/22/2017,1.5
12/21/2017,1.5
12/20/2017,1.5
12/19/2017,1.5
12/18/2017,1.5
12/15/2017,1.5
12/14/2017,1.5
12/13/2017,1.5
12/12/2017,1.5
12/11/2017,1.5
12/8/2017,1.5
12/7/2017,1.5
12/6/2017,1.5
12/5/2017,1.5
12/4/2017,1.5
12/1/2017,1.5
11/30/2017,0.6
11/29/2017,0.6
11/28/2017,0.6
11/27/2017,0.6
11/24/2017,0.6
11/23/2017,0.6
11/22/2017,0.6
11/21/2017,0.6
11/20/2017,0.6
11/17/2017,0.6
11/16/2017,0.6
11/15/2017,0.6
11/14/2017,0.6
11/13/2017,0.6
11/10/2017,0.6
11/9/2017,0.6
11/8/2017,0.6
11/7/2017,0.6
11/3/2017,0.6
11/2/2017,0.6
11/1/2017,0.6
10/31/2017,0.2
10/30/2017,0.2
10/27/2017,0.2
10/26/2017,0.2
10/25/2017,0.2
10/24/2017,0.2
10/23/2017,0.2
10/20/2017,0.2
10/19/2017,0.2
10/18/2017,0.2
10/17/2017,0.2
10/16/2017,0.2
10/13/2017,0.2
10/12/2017,0.2
10/11/2017,0.2
10/10/2017,0.2
10/9/2017,0.2
10/6/2017,0.2
10/5/2017,0.2
10/4/2017,0.2
10/3/2017,0.2
10/2/2017,0.2
9/29/2017,1.0
9/28/2017,1.0
9/27/2017,1.0
9/26/2017,1.0
9/25/2017,1.0
9/22/2017,1.0
9/21/2017,1.0
9/20/2017,1.0
9/19/2017,1.0
9/18/2017,1.0
9/15/2017,1.0
9/14/2017,1.0
9/13/2017,1.0
9/12/2017,1.0
9/11/2017,1.0
9/8/2017,1.0
9/7/2017,1.0
9/6/2017,1.0
9/5/2017,1.0
9/4/2017,1.0
9/1/2017,1.0
8/31/2017,0.6
8/30/2017,0.6
8/29/2017,0.6
8/28/2017,0.6
8/25/2017,0.6
8/24/2017,0.6
8/23/2017,0.6
8/22/2017,0.6
8/21/2017,0.6
8/18/2017,0.6
8/17/2017,0.6
8/16/2017,0.6
8/15/2017,0.6
8/14/2017,0.6
8/11/2017,0.6
8/10/2017,0.6
8/9/2017,0.6
8/8/2017,0.6
8/7/2017,0.6
8/4/2017,0.6
8/3/2017,0.6
8/2/2017,0.6
8/1/2017,0.6
7/31/2017,1.8
7/28/2017,1.8
7/27/2017,1.8
7/26/2017,1.8
7/25/2017,1.8
7/24/2017,1.8
